,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients,recettes,recettes_nettoyees,cal_recette,cal_par_portion,tps_course_affichage,tps_marche_affichage,tps_velo_affichage,tps_course_min,tps_marche_min,tps_velo_min
0,https://www.marmiton.org/recettes/recette_bowl-d-hiver_349692.aspx,4.8,19.0,3500.0,Bowl d'hiver,1h07,très facile,bon marché,1.0,"['60 g de riz complet', '2 carottes (ou 1/2 patate douce)', '1 avocat', '1/2 citron', '1 poignée de chou de bruxelles', '1 poignée de roquette', '1 poignée de graines de courge', '1 cuillère à soupe de sauce soja', ""1 cuillère à soupe d'huile de sésame"", ""2 cuillères à soupe d'huile de sésame"", ""1 gousse d'ail"", '1 cuillère à soupe de sauce soja', '1/2 orange', '1 cuillère à café de miel']","{'riz complet': [60.0, 'g'], 'patate douce': [2.0, 'unite'], 'avocat': [1.0, 'unite'], 'citron': [1, 'unite'], 'chou': [30.0, 'g'], 'roquette': [30.0, 'g'], 'courge': [30.0, 'g'], 'soja': [10.0, 'g'], 'huile de sésame': [10.0, 'g'], 'huile de sésame2': [2.0, 'unite'], 'ail': [4.0, 'g'], 'soja2': [10.0, 'g'], 'orange': [1, 'unite'], 'café': [10.0, 'g']}","{'riz complet': [60.0, 'g'], 'patate douce': [2.0, 'unite'], 'avocat': [1.0, 'unite'], 'citron': [1, 'unite'], 'chou': [30.0, 'g'], 'roquette': [30.0, 'g'], 'courge': [30.0, 'g'], 'soja': [10.0, 'g'], 'huile de sésame': [10.0, 'g'], 'huile de sésame2': [2.0, 'unite'], 'ail': [4.0, 'g'], 'soja2': [10.0, 'g'], 'orange': [1, 'unite'], 'café': [10.0, 'g']}",1360.17,1360.17,2h31,7h33,4h32,151,453,272
1,https://www.marmiton.org/recettes/recette_clafoutis-d-hiver_318736.aspx,4.4,16.0,7200.0,Clafoutis d'hiver,35 min,facile,bon marché,8.0,"['2 poireaux', '40 cl de lait concentré non sucré', '120 g de camembert fermier', '4 oeufs', '1 cuillère à soupe de farine', '1 noix de beurre', 'Poivre', 'Sel']","{'poireau': [2.0, 'unite'], 'lait concentré non sucré': [400.0, 'g'], 'camembert': [120.0, 'g'], 'oeuf': [4.0, 'unite'], 'farine': [10.0, 'g'], 'beurre': [1.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}","{'poireau': [2.0, 'unite'], 'lait concentré non sucré': [400.0, 'g'], 'camembert': [120.0, 'g'], 'oeuf': [4.0, 'unite'], 'farine': [10.0, 'g'], 'beurre': [1.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}",1541.404,192.6755,21 min,1h4,38 min,21,64,38
2,https://www.marmiton.org/recettes/recette_matafan-d-hiver_313560.aspx,3.7,3.0,226.0,Matafan d’hiver,35 min,facile,bon marché,4.0,"['5 pommes de terre', '2 oeufs', '2 échalotes', '2 tranches de jambon blanc', '2 tranches de jambon fumé', '200 g de farine', '15 cl de lait', '80 g de beurre', 'Sel', 'Poivre']","{'pomme': [5.0, 'unite'], 'oeuf': [2.0, 'unite'], 'échalotes': [2.0, 'unite'], 'jambon blanc': [2.0, 'unite'], 'jambon fumé': [2.0, 'unite'], 'farine': [200.0, 'g'], 'lait': [150.0, 'g'], 'beurre': [80.0, 'g'], 'sel': [1, 'unite'], 'poivre': [1, 'unite']}","{'pomme': [5.0, 'unite'], 'oeuf': [2.0, 'unite'], 'échalotes': [2.0, 'unite'], 'jambon blanc': [2.0, 'unite'], 'jambon fumé': [2.0, 'unite'], 'farine': [200.0, 'g'], 'lait': [150.0, 'g'], 'beurre': [80.0, 'g'], 'sel': [1, 'unite'], 'poivre': [1, 'unite']}",2322.984,580.746,1h4,3h13,1h56,64,193,116
3,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx,4.7,909.0,70000.0,Galette des rois à la frangipane,30 min,très facile,bon marché,6.0,"['2 pâtes feuilletées', ""140 g de poudre d'amandes"", '100 g de sucre fin', '2 oeufs', '75 g de beurre mou', ""1 jaune d'oeuf"", '1 fève']","{'pâtes feuilletées': [2.0, 'unite'], 'amandes': [140.0, 'g'], 'sucre': [100.0, 'g'], 'oeuf': [2.0, 'unite'], 'beurre': [75.0, 'g'], 'oeuf2': [1.0, 'unite']}","{'pâtes feuilletées': [2.0, 'unite'], 'amandes': [140.0, 'g'], 'sucre': [100.0, 'g'], 'oeuf': [2.0, 'unite'], 'beurre': [75.0, 'g'], 'oeuf2': [1.0, 'unite']}",2503.9199999999996,417.31999999999994,46 min,2h19,1h23,46,139,83
4,https://www.marmiton.org/recettes/recette_soupe-d-hiver-facile_63880.aspx,4.6,12.0,1200.0,Soupe d'hiver facile !,45 min,très facile,bon marché,4.0,"['2 oignons', '1 sachet de lardons fumés', '1 poireau', '3 carottes', '2 pommes de terre fermes', '3 bouillons -cubes ""Or"" ou autre', ""1 l d'eau"", 'Thym', 'Poivre', '1 poignée de chou-fleur', '1 poignée de brocoli']","{'oignon': [2.0, 'unite'], 'lardon': [7.0, 'g'], 'poireau': [1.0, 'unite'], 'carotte': [3.0, 'unite'], 'pomme': [2.0, 'unite'], 'bouillon': [3.0, 'unite'], 'eau': [1000.0, 'g'], 'thym': [1, 'unite'], 'poivre': [1, 'unite'], 'chou': [30.0, 'g'], 'brocoli': [30.0, 'g']}","{'oignon': [2.0, 'unite'], 'lardon': [7.0, 'g'], 'poireau': [1.0, 'unite'], 'carotte': [3.0, 'unite'], 'pomme': [2.0, 'unite'], 'bouillon': [3.0, 'unite'], 'eau': [1000.0, 'g'], 'thym': [1, 'unite'], 'poivre': [1, 'unite'], 'chou': [30.0, 'g'], 'brocoli': [30.0, 'g']}",451.74399999999997,112.93599999999999,12 min,37 min,22 min,12,37,22
5,https://www.marmiton.org/recettes/recette_ragout-de-legumes-d-hiver_67027.aspx,4.7,39.0,7900.0,Ragoût de légumes d'hiver,16 min,très facile,bon marché,4.0,"['1 poireau', '2 pommes de terre', '2 carottes', '2 navets', '3 échalotes', '50 g de beurre', '2 feuilles de laurier', 'Persil', 'Poivre', 'Sel']","{'poireau': [1.0, 'unite'], 'pomme': [2.0, 'unite'], 'carotte': [2.0, 'unite'], 'échalotes': [3.0, 'unite'], 'beurre': [50.0, 'g'], 'persil': [1, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}","{'poireau': [1.0, 'unite'], 'pomme': [2.0, 'unite'], 'carotte': [2.0, 'unite'], 'échalotes': [3.0, 'unite'], 'beurre': [50.0, 'g'], 'persil': [1, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite']}",714.982,178.7455,19 min,59 min,35 min,19,59,35
6,https://www.marmiton.org/recettes/recette_sapin-feuillete-aperitif_346035.aspx,4.5,6.0,1600.0,Sapin feuilleté apéritif,30 min,très facile,bon marché,6.0,"['2 pâtes feuilletées', '200 g de pesto', ""1 jaune d'oeuf""]","{'pâtes feuilletées': [2.0, 'unite'], 'pesto': [200.0, 'g'], 'oeuf': [1.0, 'unite']}","{'pâtes feuilletées': [2.0, 'unite'], 'pesto': [200.0, 'g'], 'oeuf': [1.0, 'unite']}",1537.12,256.18666666666667,28 min,1h25,51 min,28,85,51
7,https://www.marmiton.org/recettes/recette_petits-biscuits-de-noel_19726.aspx,4.6,650.0,50000.0,Petits biscuits de Noël,23 min,très facile,bon marché,6.0,"['250 g de farine', '100 g de beurre ramolli', '125 g de sucre', ""50 g d'amandes en poudre"", '1 oeuf', '1 cuillère à café de levure', 'Cannelle', 'Gingembre', 'Muscade', 'Girofle ...', 'zeste de citron (orange ou mandarine)', ""1 jaune d'oeuf (mélangé à un peu d'eau)""]","{'farine': [250.0, 'g'], 'beurre': [100.0, 'g'], 'sucre': [125.0, 'g'], 'amandes': [50.0, 'g'], 'oeuf': [1.0, 'unite'], 'café': [10.0, 'g'], 'cannelle': [1, 'unite'], 'gingembre': [1, 'unite'], 'mandarine': [1, 'unite'], 'oeuf2': [1.0, 'unite']}","{'farine': [250.0, 'g'], 'beurre': [100.0, 'g'], 'sucre': [125.0, 'g'], 'amandes': [50.0, 'g'], 'oeuf': [1.0, 'unite'], 'café': [10.0, 'g'], 'cannelle': [1, 'unite'], 'gingembre': [1, 'unite'], 'mandarine': [1, 'unite'], 'oeuf2': [1.0, 'unite']}",2667.8629999999994,444.64383333333325,49 min,2h28,1h28,49,148,88
8,https://www.marmiton.org/recettes/recette_compote-chaude-d-hiver_20340.aspx,4.8,5.0,682.0,Compote chaude d'hiver,30 min,très facile,bon marché,4.0,"['2 cuillères à soupe de raisins secs', '6 abricots secs', '6 dattes', '6 pruneaux', '1 orange', '1 pomme', '1 poire', '1 cuillère à soupe de jus de citron', '1/2 cuillère à café de cannelle en poudre', ""2 tranches de pain d'épices""]","{'raisins secs': [2.0, 'unite'], 'abricots secs': [6.0, 'unite'], 'dattes': [6.0, 'unite'], 'pruneaux': [6.0, 'unite'], 'orange': [1.0, 'unite'], 'pomme': [1.0, 'unite'], 'poire': [1.0, 'unite'], 'jus de citron': [10.0, 'g'], 'cannelle en poudre': [10.0, 'g']}","{'raisins secs': [2.0, 'unite'], 'abricots secs': [6.0, 'unite'], 'dattes': [6.0, 'unite'], 'pruneaux': [6.0, 'unite'], 'orange': [1.0, 'unite'], 'pomme': [1.0, 'unite'], 'poire': [1.0, 'unite'], 'jus de citron': [10.0, 'g'], 'cannelle en poudre': [10.0, 'g']}",4743.662,1185.9155,2h11,6h35,3h57,131,395,237
9,https://www.marmiton.org/recettes/recette_soupe-d-hiver_26858.aspx,1.0,1.0,219.0,soupe d'hiver,35 min,très facile,bon marché,6.0,"['1.5 kg de carotte', '1.5 kg de potimarron', '1 belle tranche de lard', 'tranche de bacon', '2 cuillères à soupe de beurre', '2 oignons', ""1 gousse d'ail"", '1 bouquet de persil', 'Poivre', 'Sel', '1 pincée de muscade', '5 grosses cuillères à soupe de mascarpone']","{'carotte': [1500.0, 'g'], 'marron': [1500.0, 'g'], 'lard': [1.0, 'unite'], 'bacon': [1, 'unite'], 'beurre': [2.0, 'unite'], 'oignon': [2.0, 'unite'], 'ail': [4.0, 'g'], 'persil': [1.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite'], 'mascarpone': [5.0, 'unite']}","{'carotte': [1500.0, 'g'], 'marron': [1500.0, 'g'], 'lard': [1.0, 'unite'], 'bacon': [1, 'unite'], 'beurre': [2.0, 'unite'], 'oignon': [2.0, 'unite'], 'ail': [4.0, 'g'], 'persil': [1.0, 'unite'], 'poivre': [1, 'unite'], 'sel': [1, 'unite'], 'mascarpone': [5.0, 'unite']}",4600.242000000001,766.7070000000002,1h25,4h15,2h33,85,255,153
