,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
0,0,https://www.marmiton.org/recettes/recette_bowl-d-hiver_349692.aspx,4.8,19.0,3500.0,Bowl d'hiver,1h07,très facile,bon marché,1.0,"['60 g de riz complet', '2 carottes (ou 1/2 patate douce)', '1 avocat', '1/2 citron', '1 poignée de chou de bruxelles', '1 poignée de roquette', '1 poignée de graines de courge', '1 cuillère à soupe de sauce soja', ""1 cuillère à soupe d'huile de sésame"", ""2 cuillères à soupe d'huile de sésame"", ""1 gousse d'ail"", '1 cuillère à soupe de sauce soja', '1/2 orange', '1 cuillère à café de miel']"
2,2,https://www.marmiton.org/recettes/recette_clafoutis-d-hiver_318736.aspx,4.4,16.0,7200.0,Clafoutis d'hiver,35 min,facile,bon marché,8.0,"['2 poireaux', '40 cl de lait concentré non sucré', '120 g de camembert fermier', '4 oeufs', '1 cuillère à soupe de farine', '1 noix de beurre', 'Poivre', 'Sel']"
3,3,https://www.marmiton.org/recettes/recette_matafan-d-hiver_313560.aspx,3.7,3.0,226.0,Matafan d’hiver,35 min,facile,bon marché,4.0,"['5 pommes de terre', '2 oeufs', '2 échalotes', '2 tranches de jambon blanc', '2 tranches de jambon fumé', '200 g de farine', '15 cl de lait', '80 g de beurre', 'Sel', 'Poivre']"
4,4,https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx,4.7,909.0,70000.0,Galette des rois à la frangipane,30 min,très facile,bon marché,6.0,"['2 pâtes feuilletées', ""140 g de poudre d'amandes"", '100 g de sucre fin', '2 oeufs', '75 g de beurre mou', ""1 jaune d'oeuf"", '1 fève']"
5,5,https://www.marmiton.org/recettes/recette_soupe-d-hiver-facile_63880.aspx,4.6,12.0,1200.0,Soupe d'hiver facile !,45 min,très facile,bon marché,4.0,"['2 oignons', '1 sachet de lardons fumés', '1 poireau', '3 carottes', '2 pommes de terre fermes', '3 bouillons -cubes ""Or"" ou autre', ""1 l d'eau"", 'Thym', 'Poivre', '1 poignée de chou-fleur', '1 poignée de brocoli']"
6,6,https://www.marmiton.org/recettes/recette_ragout-de-legumes-d-hiver_67027.aspx,4.7,39.0,7900.0,Ragoût de légumes d'hiver,16 min,très facile,bon marché,4.0,"['1 poireau', '2 pommes de terre', '2 carottes', '2 navets', '3 échalotes', '50 g de beurre', '2 feuilles de laurier', 'Persil', 'Poivre', 'Sel']"
7,7,https://www.marmiton.org/recettes/recette_sapin-feuillete-aperitif_346035.aspx,4.5,6.0,1600.0,Sapin feuilleté apéritif,30 min,très facile,bon marché,6.0,"['2 pâtes feuilletées', '200 g de pesto', ""1 jaune d'oeuf""]"
8,8,https://www.marmiton.org/recettes/recette_petits-biscuits-de-noel_19726.aspx,4.6,650.0,50000.0,Petits biscuits de Noël,23 min,très facile,bon marché,6.0,"['250 g de farine', '100 g de beurre ramolli', '125 g de sucre', ""50 g d'amandes en poudre"", '1 oeuf', '1 cuillère à café de levure', 'Cannelle', 'Gingembre', 'Muscade', 'Girofle ...', 'zeste de citron (orange ou mandarine)', ""1 jaune d'oeuf (mélangé à un peu d'eau)""]"
9,9,https://www.marmiton.org/recettes/recette_compote-chaude-d-hiver_20340.aspx,4.8,5.0,682.0,Compote chaude d'hiver,30 min,très facile,bon marché,4.0,"['2 cuillères à soupe de raisins secs', '6 abricots secs', '6 dattes', '6 pruneaux', '1 orange', '1 pomme', '1 poire', '1 cuillère à soupe de jus de citron', '1/2 cuillère à café de cannelle en poudre', ""2 tranches de pain d'épices""]"
10,10,https://www.marmiton.org/recettes/recette_soupe-d-hiver_26858.aspx,1.0,1.0,219.0,soupe d'hiver,35 min,très facile,bon marché,6.0,"['1.5 kg de carotte', '1.5 kg de potimarron', '1 belle tranche de lard', 'tranche de bacon', '2 cuillères à soupe de beurre', '2 oignons', ""1 gousse d'ail"", '1 bouquet de persil', 'Poivre', 'Sel', '1 pincée de muscade', '5 grosses cuillères à soupe de mascarpone']"
11,11,https://www.marmiton.org/recettes/recette_liqueur-de-bourgeons-de-sapin_30247.aspx,4.0,2.0,174.0,Liqueur de bourgeons de sapin,40 min,facile,Coût moyen,1.0,"[""1/2 l d'eau de vie"", '300 g de sucre']"
12,12,https://www.marmiton.org/recettes/recette_confitures-d-hiver-aux-agrumes_36174.aspx,4.5,13.0,1200.0,Confitures d'hiver aux agrumes,1h30,facile,Coût moyen,1.0,"[""1 kg d'orange"", 'Citron', 'Pamplemousse', ""2 l d'eau"", '1 kg de sucre', '1 cl de rhum blanc agricole']"
13,13,https://www.marmiton.org/recettes/recette_taboule-de-fruits-d-hiver_343314.aspx,0.0,0.0,185.0,Taboulé de fruits d’hiver,10 min,très facile,bon marché,6.0,"['1 semoule fine', '1 cuillère à café de cannelle', ""1/2 jus d'agrumes"", '1/2 eau', '1 cuillère à soupe de miel', '1 orange', '1 pomme', '1 kiwi']"
14,14,https://www.marmiton.org/recettes/recette_petite-salade-d-hiver_165940.aspx,3.7,3.0,474.0,Petite salade d'hiver,18 min,facile,bon marché,3.0,"['1 carotte', '1/2 pomme Granny', ""5 feuilles d'endive"", '1 citron', '1 sachet de pignons de pin', 'Huile', 'Poivre', 'Sel']"
15,15,https://www.marmiton.org/recettes/recette_soupe-rouge-d-hiver_253759.aspx,4.0,1.0,41.0,Soupe rouge d'hiver,45 min,très facile,bon marché,2.0,"['2 pommes de terre', '3 betteraves', '1 chou-fleur', '1 oignon', 'Sel', 'Poivre', 'Origan', '1/2 verre de vinaigre balsamique']"
16,16,https://www.marmiton.org/recettes/recette_gratin-d-hiver_86330.aspx,4.8,5.0,1600.0,Gratin d'Hiver,1h05,très facile,bon marché,3.0,"['600 g de pomme de terre (équivalent à 5 pommes de terre)', ""40 cl d'eau"", '30 cl de lait', '1 bouquet de thym /laurier', ""2 gousses d'ail"", '5 cl de crème légère liquide', '1 oignon', '200 g de lardons', ""70 g d'emmental rapé"", ""1 cuillère à café d'huile d'olive"", 'Poivre', 'Sel']"
