,Food,Portion_100g,Kcal,Portion,Aliment,mesure,Unité_mesure,Unité,Kcal_Portion,kcal_1g
0,Langue de bœuf,100g,284,1 langue (85 g),langue,85.0,g,1.0,241.4,2.84
1,Abats de poulet,100g,277,1 tasse (145 g),tasse,145.0,g,1.0,401.65,2.77
2,Langue de porc,100g,271,1 langue (231 g),langue,231.0,g,1.0,626.01,2.71
3,Tripes,100g,233,1 portion (85 g),portion,85.0,g,1.0,198.05,2.33
4,Langue de veau,100g,202,1 pièce (255 g),pièce,255.0,g,1.0,515.1,2.02
5,Cervelle de boeuf,100g,196,1 pièce (351 g),pièce,351.0,g,1.0,687.96,1.96
6,Foie de veau,100g,192,1 tranche (80 g),tranche,80.0,g,1.0,153.6,1.92
7,Foie de boeuf,100g,191,1 tranche (68 g),tranche,68.0,g,1.0,129.88,1.91
8,Foie de dinde,100g,189,1 foie (53 g),foie,53.0,g,1.0,100.17,1.89
9,Coeur de veau,100g,186,1 pièce (198 g),pièce,198.0,g,1.0,368.28,1.86
10,Coeur de poulet,100g,185,1 coeur (6.1 g),coeur,6.1,g,1.0,11.285,1.85
11,Coeur de dindon,100g,174,1 coeur (20 g),coeur,20.0,g,1.0,34.8,1.74
12,Abats de dindon,100g,173,1 abat (95 g),abat,95.0,g,1.0,164.35,1.73
13,Foie de poulet,100g,172,1 foie (44 g),foie,44.0,g,1.0,75.68,1.72
14,Coeur de boeuf,100g,165,1 coeur (85 g),coeur,85.0,g,1.0,140.25,1.65
15,Foie de porc,100g,165,1 foie (85 g),foie,85.0,g,1.0,140.25,1.65
16,Rognons de veau,100g,163,1 pièce (184 g),pièce,184.0,g,1.0,299.92,1.63
17,Rognons de boeuf,100g,158,1 pièce (85 g),pièce,85.0,g,1.0,134.3,1.58
18,Estomac de porc,100g,157,1 pièce (85 g),pièce,85.0,g,1.0,133.45,1.57
19,Rognons de porc,100g,151,1 pièce (85 g),pièce,85.0,g,1.0,128.35,1.51
20,Coeur de porc,100g,148,1 coeur (129 g),coeur,129.0,g,1.0,190.92,1.48
21,Estomac de poulet,100g,148,1 portion (100 g),portion,100.0,g,1.0,148.0,1.48
22,Estomac de dindon,100g,148,1 portion (100 g),portion,100.0,g,1.0,148.0,1.48
23,Cervelle de porc,100g,138,1 pièce (85 g),pièce,85.0,g,1.0,117.3,1.38
24,Foie de canard,100g,136,1 foie (44 g),foie,44.0,g,1.0,59.84,1.36
25,Cervelle de veau,100g,136,1 pièce (339 g),pièce,339.0,g,1.0,461.04,1.36
26,Foie d’oie,100g,133,1 foie (94 g),foie,94.0,g,1.0,125.02,1.33
27,Mou de porc,100g,99,1 pièce (300 g),pièce,300.0,g,1.0,297.0,0.99
28,Rate de bœuf,100g,271,1 pièce (222 g),pièce,222.0,g,1.0,601.62,2.71
29,Rate de porc,100g,219,1 pièce (245 g),pièce,245.0,g,1.0,536.55,2.19
30,Mou de bœuf,100g,120,1 pièce (303 g),pièce,303.0,g,1.0,363.6,1.2
31,Ale,100ml,35,1 demi (250 ml),demi,250.0,ml,1.0,87.5,0.35
